rank,opening_range_end,stop_loss_rate,take_profit_rate,symbol_count,data_symbol_count,traded_symbol_count,source_bar_count,trade_count,win_count,loss_count,breakeven_count,win_rate,total_profit,gross_profit,gross_loss,average_profit,profit_factor,expectancy,max_drawdown
1,09:10,0.005,0.01,6,6,1,1340,1,1,0,0,100.0,5834.156999999967,5834.156999999967,0,5834.156999999967,inf,5834.156999999967,0.0
2,09:10,0.008,0.01,6,6,1,1340,1,1,0,0,100.0,5834.156999999967,5834.156999999967,0,5834.156999999967,inf,5834.156999999967,0.0
3,09:10,0.01,0.01,6,6,1,1340,1,1,0,0,100.0,5834.156999999967,5834.156999999967,0,5834.156999999967,inf,5834.156999999967,0.0
4,09:10,0.012,0.01,6,6,1,1340,1,1,0,0,100.0,5834.156999999967,5834.156999999967,0,5834.156999999967,inf,5834.156999999967,0.0
5,09:10,0.015,0.01,6,6,1,1340,1,1,0,0,100.0,5834.156999999967,5834.156999999967,0,5834.156999999967,inf,5834.156999999967,0.0
6,09:15,0.005,0.01,6,6,1,1340,1,1,0,0,100.0,5834.156999999967,5834.156999999967,0,5834.156999999967,inf,5834.156999999967,0.0
7,09:15,0.008,0.01,6,6,1,1340,1,1,0,0,100.0,5834.156999999967,5834.156999999967,0,5834.156999999967,inf,5834.156999999967,0.0
8,09:15,0.01,0.01,6,6,1,1340,1,1,0,0,100.0,5834.156999999967,5834.156999999967,0,5834.156999999967,inf,5834.156999999967,0.0
9,09:15,0.012,0.01,6,6,1,1340,1,1,0,0,100.0,5834.156999999967,5834.156999999967,0,5834.156999999967,inf,5834.156999999967,0.0
10,09:15,0.015,0.01,6,6,1,1340,1,1,0,0,100.0,5834.156999999967,5834.156999999967,0,5834.156999999967,inf,5834.156999999967,0.0
11,09:05,0.005,0.01,6,6,1,1340,2,1,1,0,50.0,2169.970999999993,5930.403500000029,-3760.4325000000363,1084.9854999999966,1.5770535703007493,1084.9854999999966,3760.4325000000363
12,09:05,0.008,0.01,6,6,1,1340,2,1,1,0,50.0,289.9115000000438,5930.403500000029,-5640.491999999986,144.9557500000219,1.0513982645485616,144.9557500000219,5640.491999999986
13,09:05,0.01,0.01,6,6,1,1340,2,1,1,0,50.0,-963.4614999999521,5930.403500000029,-6893.864999999982,-481.73074999997607,0.8602436369148577,-481.73074999997607,6893.864999999982
14,09:05,0.012,0.01,6,6,1,1340,2,1,1,0,50.0,-2216.834499999949,5930.403500000029,-8147.2379999999785,-1108.4172499999745,0.727903554554322,-1108.4172499999745,8147.2379999999785
15,09:10,0.005,0.015,6,6,1,1340,1,0,1,0,0.0,-3889.9785000000293,0,-3889.9785000000293,-3889.9785000000293,0.0,-3889.9785000000293,3889.9785000000293
16,09:10,0.005,0.02,6,6,1,1340,1,0,1,0,0.0,-3889.9785000000293,0,-3889.9785000000293,-3889.9785000000293,0.0,-3889.9785000000293,3889.9785000000293
17,09:10,0.005,0.03,6,6,1,1340,1,0,1,0,0.0,-3889.9785000000293,0,-3889.9785000000293,-3889.9785000000293,0.0,-3889.9785000000293,3889.9785000000293
18,09:10,0.005,0.04,6,6,1,1340,1,0,1,0,0.0,-3889.9785000000293,0,-3889.9785000000293,-3889.9785000000293,0.0,-3889.9785000000293,3889.9785000000293
19,09:15,0.005,0.015,6,6,1,1340,1,0,1,0,0.0,-3889.9785000000293,0,-3889.9785000000293,-3889.9785000000293,0.0,-3889.9785000000293,3889.9785000000293
