window,training_start,training_end,testing_start,testing_end,opening_range_end,stop_loss_rate,take_profit_rate,training_source_bar_count,training_traded_symbol_count,training_trade_count,training_win_rate,training_total_profit,training_profit_factor,training_expectancy,training_max_drawdown,testing_source_bar_count,testing_data_symbol_count,testing_traded_symbol_count,testing_trade_count,testing_win_rate,testing_total_profit,testing_profit_factor,testing_expectancy,testing_max_drawdown
1,2026-07-01 00:00:00,2026-07-07 23:59:59.999999,2026-07-08 00:00:00,2026-07-10 23:59:59.999999,09:05,0.005,0.01,0,0,0,0.0,0,0.0,0.0,0.0,134,2,0,0,0.0,0,0.0,0.0,0.0
2,2026-07-04 00:00:00,2026-07-10 23:59:59.999999,2026-07-11 00:00:00,2026-07-13 23:59:59.999999,09:05,0.005,0.01,134,0,0,0.0,0,0.0,0.0,0.0,402,6,0,0,0.0,0,0.0,0.0,0.0
