code,entry_at,exit_at,buy_price,sell_price,quantity,gross_profit,commission,slippage_cost,total_cost,net_profit,return_rate
7203,2026-07-13T09:25:00,2026-07-13T15:30:00,3530.0,3545.0,100,1500.0,0.0,353.75,353.75,1146.25,0.3247167138810198
7203,2026-07-14T09:20:00,2026-07-14T15:30:00,3570.0,3510.0,100,-6000.0,0.0,354.0,354.0,-6354.0,-1.7798319327731091
