generated_at,equity,cash_balance,market_value,realized_profit_loss,unrealized_profit_loss,period_return,cumulative_return
2026-07-01T00:25:00+00:00,1000000.0,899500.0,100500.0,0.0,0.0,,0.0
2026-07-01T00:30:00+00:00,1001005.0,1001005.0,0,0,0,0.0010049999999999226,0.0010049999999999226
